"_oid","_parent_oid","_last_modified","file_class","file_creationInfo_agencyID","file_creationInfo_agencyURI_resourceID","file_creationInfo_agencyURI_used","file_creationInfo_author","file_creationInfo_authorURI_resourceID","file_creationInfo_authorURI_used","file_creationInfo_creationTime","file_creationInfo_creationTime_ms","file_creationInfo_version","file_creationInfo_used","file_description","file_filename","file_type","file_url"
83227,1,2016-05-30 14:10:20,picture,,,0,,,0,,,,0,Room entrance.,"20150921_124750.jpg",image/jpeg,/stationbook-files/Z3/A285A/20150921_124750.jpg
83230,1,2016-05-30 14:23:40,picture,,,0,,,0,,,,0,Site overview and sensor location. The site is in the old starting point of a mountain lift. There is a small gravel street 6m away.,"20150909_113926_2.jpg",image/jpeg,/stationbook-files/Z3/A289A/20150909_113926_2.jpg
83232,1,2016-05-30 14:19:41,picture,,,0,,,0,,,,0,Final configuration of the sensor installation. The sensor is powered with solar panels. The data streaming is in quasi realtime (2 hours per day).,"20150909_172115.jpg",image/jpeg,/stationbook-files/Z3/A289A/20150909_172115.jpg
83235,1,2016-05-30 14:32:02,picture,,,0,,,0,,,,0,"Site overview and sensor location. The sensor is in the ground floor of this builging. There is an habitated house nearby (5m). The main noise sources are cows, the house and  machinery used to milk the cows.","20151112_152326.jpg",image/jpeg,/stationbook-files/Z3/A290A/20151112_152326.jpg
83237,1,2016-05-30 14:33:14,picture,,,0,,,0,,,,0,STS-2 place on concrete groung floor of 2 building. The digitizer is a Taurus. The stations has main power and stream data in realtime.,"20151112_170757.jpg",image/jpeg,/stationbook-files/Z3/A290A/20151112_170757.jpg
83239,1,2016-05-30 14:34:12,picture,,,0,,,0,,,,0,"Final configuration of the installation. GPS antenna is placed outside the building, nearby a window.","20151112_190128.jpg",image/jpeg,/stationbook-files/Z3/A290A/20151112_190128.jpg
83241,1,2016-05-30 14:35:26,picture,,,0,,,0,,,,0,View from the site (looking SE),"20151112_153258.jpg",image/jpeg,/stationbook-files/Z3/A290A/20151112_153258.jpg
83244,1,2016-05-30 14:40:35,picture,,,0,,,0,,,,0,Site overview and sensor location. Tha main noise sources are chickens and the traffic of a small road.,"20151113_114640.jpg",image/jpeg,/stationbook-files/Z3/A291A/20151113_114640.jpg
83246,1,2016-05-30 14:43:45,picture,,,0,,,0,,,,0,STS-2 place on concrete ground floor of 2 story small building. The digitizer is a Taurus. The station has main power and stream data in real time.,"20151113_112842.jpg",image/jpeg,/stationbook-files/Z3/A291A/20151113_112842.jpg
83248,1,2016-05-30 14:46:18,picture,,,0,,,0,,,,0,GPS antenna is installed outside the building at the corner.,"20150922_174736.jpg",image/jpeg,/stationbook-files/Z3/A291A/20150922_174736.jpg
83251,1,2016-05-30 15:04:30,picture,,,0,,,0,,,,0,"Site overview. The vault, with the sensor, is inside the green fence. The station has main power and streams the data in real time.",Klekovaca.jpg,image/jpeg,/stationbook-files/Z3/A050A/Klekovaca.jpg
83253,1,2016-05-30 15:06:52,picture,,,0,,,0,,,,0,Vault. STS-2 is placed on concrete pad at base of plastic vault. Digitizer and battery are in the black box,Klekovaca6.jpg,image/jpeg,/stationbook-files/Z3/A050A/Klekovaca6.jpg
83255,1,2016-05-30 15:07:36,picture,,,0,,,0,,,,0,Digitizer (Taurus). ,"20151126_125457.jpg",image/jpeg,/stationbook-files/Z3/A050A/20151126_125457.jpg
83258,1,2016-05-30 15:11:40,picture,,,0,,,0,,,,0,Final configuration of the installation. GPS antenna is placed outside the building.,"20151125_151304.jpg",image/jpeg,/stationbook-files/Z3/A051A/20151125_151304.jpg
83260,1,2016-05-30 15:13:19,picture,,,0,,,0,,,,0,"Site overview. The site is in the ground floor of an isolated building in the mountains. The main noise source is the heating system, rarely used..","20151125_133234.jpg",image/jpeg,/stationbook-files/Z3/A051A/20151125_133234.jpg
83262,1,2016-05-30 15:14:20,picture,,,0,,,0,,,,0,STS-2 place on concrete groung floor of the building. The digitizer is a Taurus.,"20151125_135019.jpg",image/jpeg,/stationbook-files/Z3/A051A/20151125_135019.jpg
83266,1,2016-05-30 15:28:59,picture,,,0,,,0,,,,0,Sensor vault. STS-2 is placed on concrete pad at base of plastic vault. Digitizer and battery are in the house,IMG_7.jpg,image/jpeg,/stationbook-files/Z3/A052A/IMG_7.jpg
83268,1,2016-05-30 15:30:14,picture,,,0,,,0,,,,0,Site overview. The vault is nearby this house. The stations has main power and stram the data in realtime.,IMG_20150630_110605.jpg,image/jpeg,/stationbook-files/Z3/A052A/IMG_20150630_110605.jpg
83271,1,2016-05-30 15:38:43,picture,,,0,,,0,,,,0,Site overview and sensor location. The sensor is placed in the garage beneath the terrace. GPS and GPRS antenna are installed in the garage roof.,"20151129_104917.jpg",image/jpeg,/stationbook-files/Z3/A250A/20151129_104917.jpg
83273,1,2016-05-30 15:37:24,picture,,,0,,,0,,,,0,STS-2 placed on concrete ground floor. The digitizer is a Taurus. The station has main power and stream data in real time.,"20151129_122629.jpg",image/jpeg,/stationbook-files/Z3/A250A/20151129_122629.jpg
